t_loc,ent,sex,eda,n_hij,e_con,salario,c_ocu11c,ing7c,dur9c,ambito2,anios_esc,hrsocup,ingocup,tcco,scian,mh_col
4,17,1,32,0,5,3080,5,7,7,2,9,56,0,0,4,0
4,21,1,46,0,1,3080,5,2,3,2,2,24,5160,0,4,0
4,21,1,49,0,1,3080,10,1,5,0,9,35,0,2,1,1
4,21,1,39,0,5,3080,10,5,7,0,9,55,0,0,1,1
4,25,2,61,3,5,3080,5,3,6,3,5,42,7740,0,5,1
4,27,1,59,0,5,3080,5,2,4,3,9,32,4300,0,5,1
1,9,1,51,0,2,3080,5,7,8,3,9,60,0,0,4,1
1,9,2,39,4,5,3080,1,5,3,3,16,16,20000,0,16,1
1,9,2,39,4,5,3080,1,5,3,3,16,16,20000,0,16,1
1,9,2,47,2,6,3080,5,2,4,2,9,25,0,0,5,0
1,9,1,27,0,5,3080,3,5,6,0,16,45,20000,0,6,1
1,9,1,35,0,2,3080,5,4,8,2,6,68,12040,0,4,0
1,15,1,50,0,5,3080,5,7,6,4,12,42,0,0,5,1
1,14,1,40,0,5,3080,6,3,6,4,9,42,0,0,7,0
1,14,1,46,0,4,3080,5,3,6,2,9,46,6450,0,5,0
1,21,1,64,0,5,3080,5,4,7,3,6,51,10750,0,19,1
1,28,1,41,0,5,3080,3,4,7,3,12,55,10750,0,5,1
1,1,2,68,8,5,3080,8,1,8,2,11,72,2150,2,18,0
1,2,2,29,3,6,5302,8,4,8,3,9,60,21500,0,19,1
1,18,1,28,0,5,3080,3,5,5,4,18,36,40000,0,15,1
1,23,1,61,0,3,3080,3,5,5,4,12,36,60000,0,11,1
1,28,1,35,0,1,5302,10,7,6,0,0,45,0,0,1,1
1,2,1,57,0,5,5302,5,7,7,3,9,54,0,0,19,1
1,4,1,56,0,5,3080,3,7,6,4,17,45,0,0,12,1
1,7,1,48,0,5,3080,1,4,6,4,16,46,15000,0,12,1
1,23,2,41,2,5,3080,5,2,4,2,12,32,5000,0,5,0
1,25,2,32,2,5,3080,8,7,7,4,16,50,0,0,11,1
1,30,1,76,0,5,3080,5,7,8,3,6,57,0,0,19,1
1,32,2,33,3,5,3080,6,2,8,3,17,60,6000,3,7,1
2,16,1,40,0,5,3080,5,3,3,3,6,24,6450,0,5,0
2,12,1,46,0,3,3080,1,4,8,2,17,84,10000,0,12,1
2,20,1,60,0,6,3080,6,4,8,3,9,59,10000,0,7,1
2,32,1,56,0,5,3080,5,3,8,2,12,60,8600,0,4,0
3,14,1,30,0,2,3080,5,4,6,2,16,46,0,0,4,1
3,18,1,29,0,5,3080,5,3,8,2,12,60,6450,0,4,1
3,22,2,29,0,5,3080,6,4,8,3,12,60,9890,0,7,1
3,31,1,47,0,5,3080,8,4,8,4,6,63,12000,0,18,1
3,2,1,50,0,5,5302,8,3,7,3,8,50,12900,0,18,1
3,13,1,34,0,6,3080,5,2,6,3,9,48,4300,0,5,0
3,16,1,63,0,5,3080,10,2,4,0,0,30,3333,0,1,1
3,16,1,61,0,5,3080,5,3,6,2,6,40,8600,0,4,0
3,16,2,34,2,5,3080,8,4,6,2,13,48,12000,0,19,1
4,17,1,32,0,1,3080,10,7,6,0,9,48,0,0,1,1
4,20,1,35,0,5,3080,1,1,6,3,19,48,465,2,16,1
4,21,1,76,0,5,3080,10,1,6,0,0,40,667,2,1,1
1,9,1,49,0,6,3080,5,4,7,2,6,55,0,0,4,0
1,9,2,39,2,1,3080,6,2,7,2,9,56,0,3,7,0
1,9,1,50,0,1,3080,8,5,8,3,9,63,21000,0,18,0
1,15,2,54,4,5,3080,6,1,2,2,0,6,800,0,7,0
1,15,1,41,0,5,3080,6,1,8,3,9,105,0,2,7,1
1,14,1,41,0,5,3080,1,5,6,3,17,40,0,0,12,1
1,14,1,60,0,3,3080,3,2,9,4,12,0,0,0,7,1
2,19,2,33,2,5,3080,3,4,4,3,17,30,0,0,4,1
1,11,1,31,0,5,3080,8,1,6,4,12,48,0,2,18,1
1,5,1,34,0,5,3080,3,7,6,6,17,44,0,0,5,1
1,24,1,49,0,5,3080,6,7,7,3,17,53,0,0,7,1
2,15,1,60,0,5,3080,6,4,6,3,17,45,0,0,7,1
1,2,1,47,0,1,5302,5,2,6,3,12,48,8600,0,5,0
1,2,1,66,0,5,5302,6,3,8,3,9,70,15000,0,7,1
1,17,1,35,0,5,3080,5,7,7,4,12,54,0,0,19,1
1,2,1,28,0,6,5302,5,3,6,2,14,48,12900,0,5,0
1,17,1,34,0,6,3080,5,7,6,3,9,48,0,0,19,0
1,20,1,36,0,1,3080,5,3,7,2,6,54,8600,0,4,0
