"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col","eda"
"03",1,3,5,2,1,4,7,6,"58"
"13",2,2,6,4,1,2,4,6,"28"
"04",1,3,5,4,1,4,7,6,"56"
"25",2,2,5,4,1,4,7,6,"32"
"28",1,3,5,4,1,3,1,6,"52"
"30",1,4,5,2,1,4,7,6,"76"
"30",1,4,5,2,1,4,7,6,"76"
"16",1,3,5,4,2,1,3,5,"62"
"16",1,3,5,4,2,1,3,5,"62"
"16",1,2,5,2,2,2,3,5,"40"
"30",1,4,5,4,2,4,7,6,"93"
"14",1,2,5,3,2,3,5,6,"44"
"14",1,2,5,4,2,3,7,6,"38"
"21",1,2,5,3,2,2,2,6,"38"
"32",1,3,5,3,2,1,3,5,"56"
"14",1,3,5,4,3,3,3,6,"48"
"31",1,2,5,2,3,1,3,5,"38"
"02",1,3,5,2,3,4,3,6,"50"
"16",1,3,5,1,3,6,2,6,"63"
"16",1,3,5,2,3,1,3,5,"61"
"17",1,2,2,3,3,1,3,5,"29"
"22",1,2,5,2,3,1,4,5,"43"
"27",1,3,5,3,3,6,6,6,"50"
"03",1,3,5,1,4,6,2,6,"55"
"08",1,4,5,1,4,6,5,6,"73"
"12",2,4,4,4,4,2,5,6,"72"
"12",1,2,5,4,4,6,1,6,"33"
"13",1,3,3,3,4,2,2,5,"55"
"13",1,3,3,3,4,2,2,5,"55"
"13",1,3,6,2,4,1,1,5,"48"
"16",1,4,4,1,4,6,3,6,"81"
"18",1,3,5,2,4,6,7,6,"56"
"25",2,2,1,3,4,4,3,5,"37"
"30",1,3,1,3,4,6,3,6,"49"
"30",1,3,1,3,4,6,3,6,"49"
"30",1,3,1,3,4,6,3,6,"49"
"32",1,4,5,1,4,6,2,6,"65"
"09",1,2,1,4,1,2,7,6,"34"
"09",2,3,5,4,1,4,7,6,"45"
"09",1,3,1,2,1,4,2,5,"51"
"09",2,2,1,3,1,3,2,5,"39"
"15",2,3,5,1,1,3,1,5,"54"
"15",2,3,5,2,1,4,2,5,"60"
"15",2,3,5,2,1,4,2,5,"60"
"15",1,2,5,3,1,3,1,6,"41"
"15",1,2,5,4,1,4,3,5,"33"
"14",1,2,5,4,1,4,5,6,"41"
"14",1,2,5,4,1,4,5,6,"41"
"14",1,2,5,4,1,4,5,6,"41"
"14",1,2,5,4,1,4,5,6,"41"
"14",1,2,6,4,2,1,7,6,"28"
"19",1,2,5,4,1,3,5,6,"41"
"19",1,3,5,2,1,1,4,5,"59"
"21",1,2,1,3,1,2,4,5,"36"
"21",1,1,6,3,3,6,4,6,"23"
"31",1,3,1,3,1,1,2,5,"46"
"16",2,3,5,3,1,4,7,6,"49"
"07",1,2,5,4,1,4,3,6,"42"
"02",1,3,1,3,1,3,3,5,"46"
"02",1,3,1,3,1,3,3,5,"46"
"10",1,3,1,3,1,2,7,6,"51"
"22",1,2,1,3,2,4,3,6,"27"
"22",1,2,5,4,1,1,5,6,"35"
"03",2,4,5,2,1,3,2,6,"74"
"23",1,2,5,4,1,4,3,6,"43"
"02",1,2,6,4,1,2,3,5,"28"
"07",1,2,2,4,1,3,2,6,"40"
"11",1,3,1,2,1,4,5,6,"54"
"21",1,3,5,3,1,3,4,5,"62"
"25",1,3,5,4,1,4,7,6,"56"
"25",1,3,5,4,1,4,7,6,"56"
"25",2,2,5,4,1,4,4,6,"29"
"25",2,2,5,4,1,4,4,6,"29"
"25",1,2,5,4,1,4,4,5,"31"
"28",1,4,5,4,1,6,7,6,"70"
"05",2,2,1,2,2,4,2,5,"36"
"14",2,2,5,3,2,4,2,5,"44"
"16",1,3,1,3,2,3,3,6,"56"
"19",1,2,2,1,2,4,3,5,"40"
"23",2,3,5,1,2,4,2,6,"60"
"27",1,4,5,3,2,6,2,6,"79"
"13",1,1,5,4,2,3,7,5,"23"
"20",1,2,5,3,2,3,7,5,"42"
"23",1,3,5,4,2,4,7,6,"54"
"31",1,2,5,3,2,3,3,6,"39"
"20",2,3,5,3,3,4,2,5,"58"
"27",2,3,5,1,3,2,2,5,"54"
"30",1,2,5,3,3,1,3,5,"35"
"04",1,2,5,2,3,6,1,6,"29"
"15",1,2,5,4,3,3,3,6,"39"
"16",1,2,5,4,3,4,3,6,"40"
"21",1,3,1,1,3,1,3,5,"47"
"21",1,3,1,1,3,1,3,5,"47"
"21",1,2,1,1,3,6,7,6,"39"
"21",1,4,5,1,3,6,7,6,"68"
"30",2,2,1,3,3,2,3,6,"38"
"01",1,2,5,1,4,1,7,5,"44"
"07",1,2,5,3,4,6,1,6,"39"
"11",2,3,6,3,4,2,3,5,"57"
"12",2,3,5,1,4,6,6,6,"56"
"12",1,2,5,3,4,6,1,6,"36"
"15",1,4,5,1,4,6,1,6,"80"
"15",1,3,5,3,4,1,7,6,"48"
"16",1,2,5,2,4,6,1,6,"33"
"16",1,2,5,3,4,1,2,5,"41"
"20",1,3,1,2,4,3,2,5,"52"
"27",1,2,2,1,4,3,4,5,"36"
"27",2,2,2,3,4,4,1,5,"27"
"32",1,2,5,4,4,4,4,6,"34"
"09",1,3,1,2,1,3,2,5,"52"
"09",2,3,5,4,1,4,5,6,"50"
"09",2,3,5,4,1,4,5,6,"50"
"09",1,3,5,4,1,4,5,6,"63"
"09",1,2,5,3,1,4,7,5,"36"
"09",1,2,5,3,1,4,7,5,"36"
"09",1,2,5,4,1,3,4,6,"37"
"09",1,3,5,4,1,4,7,6,"63"
"09",1,2,6,3,1,1,3,5,"44"
"09",1,2,1,4,1,1,4,6,"40"
"15",1,3,5,4,1,4,2,5,"55"
"15",1,2,1,1,1,4,3,5,"28"
"15",1,2,1,1,1,4,3,5,"28"
"15",1,2,1,1,1,4,3,5,"28"
"15",2,2,5,4,1,2,3,5,"41"
"15",2,2,5,4,1,2,3,5,"41"
"15",1,2,5,3,1,1,4,5,"29"
"14",1,3,5,4,1,1,5,5,"48"
"14",2,3,5,3,1,3,3,6,"45"
"14",1,2,6,4,1,4,5,6,"43"
"19",2,4,1,1,1,4,3,5,"66"
"11",1,2,5,4,1,3,5,6,"37"
"31",1,2,2,2,1,2,7,5,"39"
"30",1,2,1,2,1,2,4,6,"42"
"12",1,1,2,4,1,1,3,5,"20"
"16",1,2,6,3,3,2,7,6,"30"
"16",1,2,5,3,1,1,3,5,"44"
"08",1,2,1,3,1,2,5,6,"30"
"08",1,2,1,3,1,2,5,6,"30"
"02",2,4,5,1,1,4,2,5,"65"
"02",1,2,5,4,1,3,4,6,"31"
"02",1,2,1,3,1,4,7,6,"42"
"02",1,2,6,4,1,3,7,5,"29"
"25",1,3,3,2,1,4,4,5,"62"
"26",1,3,3,1,1,1,1,5,"46"
"10",1,3,5,4,1,4,5,6,"48"
"10",1,3,5,2,1,2,4,6,"54"
"20",1,3,5,4,3,4,3,5,"56"
"20",2,2,6,3,1,2,7,5,"29"
"32",1,3,1,1,1,1,3,5,"56"
"32",1,3,5,4,1,6,7,6,"59"
"22",1,3,5,4,1,1,4,6,"57"
"29",2,3,6,1,2,3,7,5,"51"
"02",1,3,1,3,1,3,7,6,"50"
"28",1,2,5,4,1,2,5,6,"33"
"07",1,3,5,4,1,3,4,5,"62"
"08",1,3,5,4,1,4,5,6,"48"
"11",2,3,5,3,1,4,3,5,"49"
"26",1,3,5,3,3,4,5,6,"46"
"02",1,3,1,2,2,6,7,6,"53"
"03",2,3,1,4,2,4,5,6,"47"
"16",1,2,5,3,2,1,5,5,"34"
"20",1,2,5,2,2,1,1,5,"43"
"04",2,3,5,3,2,2,2,6,"59"
"13",2,2,6,4,2,3,3,5,"30"
"07",1,3,1,1,3,1,3,5,"45"
"15",2,2,6,4,3,2,2,6,"30"
"17",1,2,5,3,3,2,3,6,"42"
"18",1,3,6,2,3,4,4,5,"57"
"24",2,3,1,1,3,4,7,6,"49"
"24",2,3,1,1,3,4,7,6,"49"
"27",1,3,5,1,3,4,1,5,"51"
"30",2,2,6,3,3,6,3,6,"44"
"12",1,2,5,1,3,6,1,6,"41"
"14",1,2,1,2,3,6,3,6,"33"
"16",1,3,5,2,3,4,2,5,"47"
"19",1,3,5,3,3,4,5,5,"49"
"19",1,3,5,3,3,4,5,5,"49"
"07",1,2,1,1,4,1,1,5,"41"
"07",1,4,4,1,4,6,1,6,"66"
"07",1,4,4,1,4,6,1,6,"66"
"07",1,2,1,3,4,6,1,6,"30"
"07",1,2,1,2,4,6,6,6,"40"
"08",1,3,1,2,4,1,4,5,"52"
"10",1,4,5,1,4,6,2,6,"82"
"10",1,2,5,4,4,6,2,6,"31"
"11",1,3,5,1,4,1,3,5,"52"
"13",1,2,1,3,4,6,1,6,"37"
"13",1,2,1,3,4,6,1,6,"37"
"14",1,3,5,2,4,1,3,5,"57"
"14",1,4,4,1,4,6,1,6,"72"
"14",1,4,5,1,4,6,7,6,"69"
"18",2,3,4,2,4,6,3,6,"57"
"21",1,4,5,1,4,6,1,6,"65"
"23",2,3,1,1,4,4,1,5,"56"
"23",2,3,1,1,4,4,1,5,"56"
"24",2,3,5,3,4,3,4,5,"50"
"25",1,3,5,4,4,2,2,6,"47"
"27",1,3,5,3,4,6,1,6,"57"
"29",1,3,5,4,4,1,5,6,"49"
