"ent","sex","eda5c","e_con","niv_ins","t_loc","rama","ing7c","mh_col"
"11",2,3,5,3,1,3,2,5
"11",2,3,5,3,1,3,2,5
"05",1,2,5,3,1,3,2,6
"31",1,3,3,4,1,6,7,6
"31",1,3,5,1,2,1,3,5
"12",1,3,2,3,1,4,4,6
"01",2,3,1,4,1,2,7,6
"08",1,3,5,3,1,1,3,5
"02",1,3,5,3,2,3,3,6
"25",1,2,5,4,1,4,4,6
"06",1,4,5,4,1,2,7,6
"22",2,2,6,4,1,4,7,6
"29",2,2,6,4,3,4,5,6
"02",1,2,5,2,1,3,3,6
"04",1,3,5,4,1,4,7,6
"22",1,4,5,2,1,4,7,6
"25",1,3,5,2,1,4,7,6
"26",1,3,5,4,1,4,7,6
"26",1,3,5,4,1,4,7,6
"28",1,3,5,4,1,3,1,6
"30",1,4,5,2,1,4,7,6
"16",1,3,5,4,2,1,3,5
"16",1,2,5,2,2,2,3,5
"24",1,1,6,4,2,4,4,5
"30",1,4,5,4,2,4,7,6
"07",1,2,5,4,2,4,3,6
"14",1,2,5,4,2,3,7,6
"14",1,2,5,4,2,3,7,6
"15",2,3,5,2,2,2,3,5
"21",1,2,5,3,2,2,2,6
"32",1,3,5,3,2,1,3,5
"32",1,3,5,3,2,1,3,5
"14",1,3,5,4,3,3,3,6
"14",1,2,2,4,3,1,4,6
"20",2,3,2,2,3,2,1,5
"24",1,4,5,2,3,6,7,6
"02",1,3,5,2,3,4,3,6
"13",1,2,6,3,3,2,2,5
"16",1,3,5,1,3,6,2,6
"16",2,2,5,4,3,4,4,6
"16",2,2,5,4,3,4,4,6
"16",1,3,5,3,3,3,3,5
"30",1,2,5,2,3,6,7,6
"30",1,2,1,3,3,2,7,6
"03",1,3,5,1,4,6,2,6
"08",1,4,5,1,4,6,5,6
"13",1,3,3,3,4,3,1,5
"13",1,3,6,2,4,1,1,5
"14",1,2,5,4,4,2,7,6
"14",1,2,6,4,4,4,2,5
"14",1,3,5,2,4,6,7,6
"16",1,4,4,1,4,6,3,6
"18",1,3,5,2,4,6,7,6
"25",2,2,1,3,4,4,3,5
"27",1,2,1,3,4,4,4,5
"09",1,2,1,4,1,2,7,6
"09",1,3,5,4,1,3,7,6
"15",1,3,2,3,2,4,2,6
"15",1,3,2,3,2,4,2,6
"15",1,4,1,4,1,4,4,6
"15",1,4,1,4,1,4,4,6
"15",1,3,5,3,1,3,3,6
"15",1,3,5,3,1,3,3,6
"15",1,2,5,3,1,3,1,6
"15",1,2,1,3,2,1,2,5
"14",1,3,3,4,1,3,2,6
"14",1,2,6,4,2,1,7,6
"14",1,2,6,4,2,1,7,6
"14",1,2,6,4,2,1,7,6
"14",1,2,5,4,3,3,4,6
"19",1,3,5,2,1,1,4,5
"21",1,3,5,3,1,4,4,5
"21",2,3,3,4,1,4,7,5
"08",1,4,5,4,1,3,4,6
"01",1,3,5,3,1,3,3,5
"01",1,2,5,4,1,4,4,5
"07",1,2,5,3,1,4,4,5
"02",1,3,1,3,1,3,3,5
"17",1,2,1,2,1,1,3,5
"29",1,2,6,4,3,4,2,6
"29",1,2,5,4,3,3,1,5
"29",2,2,1,4,3,4,7,6
"03",2,4,5,2,1,3,2,6
"02",1,2,6,4,1,2,3,5
"07",1,2,2,4,1,3,2,6
"12",1,3,5,4,1,1,2,6
"21",1,3,5,3,1,3,4,5
"25",1,2,1,3,1,1,3,5
"28",1,4,5,4,1,6,7,6
"28",1,4,5,4,1,6,7,6
"02",1,3,5,3,2,1,7,5
"05",2,2,1,2,2,4,2,5
"19",1,2,2,1,2,4,3,5
"27",1,4,5,3,2,6,2,6
"20",1,2,5,3,2,3,7,5
"11",1,3,5,4,3,2,3,5
"16",1,4,2,4,3,3,4,6
"16",1,4,5,1,3,6,3,6
"20",2,3,5,3,3,4,2,5
"30",1,2,5,3,3,1,3,5
"04",1,2,5,2,3,6,1,6
"15",2,4,5,1,3,4,3,6
"15",1,2,5,4,3,3,3,6
"21",1,3,1,1,3,1,3,5
"07",1,2,5,3,4,6,1,6
"12",1,2,5,3,4,6,1,6
"12",1,2,5,3,4,6,1,6
"13",1,2,5,4,4,3,1,6
"13",1,2,6,3,4,6,2,6
"16",1,2,5,3,4,1,3,5
"16",1,2,5,3,4,1,3,5
"20",1,3,1,2,4,3,2,5
"27",2,2,2,3,4,4,1,5
"09",1,2,5,3,1,4,3,5
"09",1,3,1,2,1,3,2,5
"09",2,3,5,4,1,4,5,6
"09",1,3,5,4,1,4,5,6
"09",1,3,6,3,1,3,1,5
"09",1,2,5,4,1,3,4,6
"09",1,2,6,3,1,1,3,5
"09",1,2,6,3,1,1,3,5
"09",1,2,1,4,1,1,4,6
"09",1,2,1,4,1,1,4,6
"09",2,4,6,2,1,4,2,5
"15",1,3,6,4,1,3,2,5
"15",1,3,6,4,1,3,2,5
"15",1,2,1,1,1,4,3,5
"15",2,2,5,4,1,2,3,5
"15",1,2,5,3,1,1,4,5
"15",1,3,5,3,1,4,2,6
"14",1,2,6,4,1,3,5,6
"14",1,3,5,1,1,1,4,5
"14",1,4,1,3,2,4,3,6
"14",1,2,6,4,1,2,7,6
"14",1,2,6,4,1,2,7,6
"14",2,3,5,2,1,4,5,6
"19",2,4,1,1,1,4,3,5
"21",1,3,6,2,3,2,3,6
"24",1,3,5,2,1,3,2,6
"31",1,2,3,4,1,4,4,6
"31",1,2,2,2,1,2,7,5
"15",1,2,5,3,1,2,2,6
"05",1,3,5,4,1,2,5,6
"08",1,2,1,3,1,2,5,6
"02",1,2,5,4,1,3,4,6
"02",1,2,1,3,1,4,7,6
"02",1,3,1,1,1,1,1,5
"25",2,4,4,2,1,4,5,6
"10",1,3,5,2,1,2,4,6
"20",1,3,5,4,3,4,3,5
"20",2,2,6,3,1,2,7,5
"32",1,3,1,1,1,1,3,5
"22",1,3,5,4,1,1,4,6
"02",1,3,1,3,1,3,7,6
"28",1,2,5,4,1,2,5,6
"07",1,3,5,4,1,3,4,5
"08",1,2,5,4,1,2,4,6
"11",2,3,5,3,1,4,3,5
"16",1,2,5,3,1,4,5,6
"16",1,2,5,3,1,4,5,6
"25",1,3,5,2,1,2,3,5
"25",2,3,1,4,1,4,5,5
"02",1,3,1,2,2,6,7,6
"03",2,3,1,4,2,4,5,6
"20",1,2,5,2,2,1,1,5
"29",1,3,5,4,2,4,1,5
"11",1,3,5,1,2,4,1,6
"22",1,2,5,4,2,1,7,6
"31",1,3,5,1,2,6,2,6
"32",1,2,5,2,2,3,2,6
"32",1,3,5,2,2,6,1,6
"07",1,2,1,3,3,1,1,5
"12",2,3,5,4,3,4,3,6
"18",1,3,6,2,3,4,4,5
"24",2,3,1,1,3,4,7,6
"27",1,3,5,1,3,4,1,5
"30",2,2,6,3,3,6,3,6
"07",1,4,5,3,3,6,1,6
"07",2,3,6,2,3,2,1,5
"14",2,2,5,2,3,3,1,6
"15",2,3,1,2,3,3,2,5
